Fe2O3,MnO,P2O5,SiO2,TiO2,Al2O3,CaO,Na2O,MgO,K2O
30.77,0.08,0.4,15.31,6.37,13.18,0.04,0.04,0.42,0.68
38.64,0.09,0.39,3.88,6.74,15.22,0.09,0.02,0.23,0.16
31.03,0.06,0.18,15.49,5.88,16.75,0.02,0.05,0.55,0.77
