Fe2O3,MnO,P2O5,SiO2,TiO2,Al2O3,CaO,Na2O,MgO,K2O,MAP
7.34,0.07,0.13,57.96,0.71,11.34,1.13,1.19,1.45,1.36,506.83
4.01,0.02,0.04,65.13,0.43,7.96,0.34,0.09,0.49,1.17,772.3
6.24,0.18,0.07,52.97,0.87,6.76,0.55,0.68,0.75,1.69,812.52
6.28,0.1,0.1,55.01,0.74,14.3,0.21,0.2,1.2,2.79,1146.54
4.75,0.09,0.11,60.56,0.61,13.61,0.88,0.9,1.4,2.29,776.46
6.13,0.04,0.1,61.72,1.04,15.45,0.41,0.4,0.64,1.39,1183.91
5.26,0.11,0.22,53.49,0.57,12.77,7.1,5.15,2.76,3.17,141.65
7.03,0.08,0.1,54.62,0.84,17.95,0.46,0.39,3.45,2.61,1346.54
5.53,0.05,0.09,62.04,0.64,13.14,0.72,0.75,1.09,1.58,1020.01
5.16,0.07,0.19,61.1,0.7,13.91,2.74,1.8,1.59,2.45,378.34
6.99,0.26,0.17,57.46,1.21,17.21,3.31,3.78,1.26,1.86,267.3
2.67,0.11,0.13,68.16,0.33,8.52,2.71,1.79,1.41,1.71,620.47
12.95,0.12,0.35,55.73,0.65,14.98,0.13,0.45,0.81,2.22,1499.98
4.89,0.09,0.11,65.12,0.55,13.32,3.2,2.95,1.94,1.02,697.68
2.89,0.04,0.07,68.05,0.45,10.05,4.77,1.42,0.89,2.87,280.66
3.71,0.07,0.15,62.21,0.58,9.31,2.48,1.06,1.1,2.24,544.66
15.73,0.24,0.36,41.31,2.9,19.22,0.37,0.47,0.49,0.85,1254.3
3.42,0.06,0.14,62.01,0.58,9.73,3.11,0.97,2.57,2.44,669.78
3.23,0.06,0.17,60.92,0.49,10.06,1.83,1.34,0.88,2.07,445.89
3.06,0.22,0.03,73.71,0.78,9.8,0.23,0.19,0.28,0.75,1222.01
6.26,0.03,0.27,52.5,0.71,10.58,0.62,1.15,1.14,1.64,1012.27
5.29,0.04,0.09,61.26,1.33,15.28,0.11,0.07,0.18,0.86,1271.21
3.89,0.12,0.1,59.26,0.61,10.27,0.84,0.82,0.84,1.96,1006.02
3.58,0.15,0.09,66.18,1.13,11.94,0.1,0.07,0.26,0.96,1269.2
2.69,0.06,0.16,63.56,0.44,8.62,3.23,1.37,1.09,2.48,347.37
6.85,0.07,0.11,55.03,1.01,15.23,0.06,0.06,0.67,1.94,1473.8
7.05,0.09,0.13,53.36,0.86,16.34,0.28,0.21,1.61,2.61,1146.54
7.86,0.18,0.36,49.32,1.17,8.55,2.78,2.73,1.08,1.44,262.33
4.33,0.06,0.09,65.25,0.51,12.57,3.51,1.14,2.19,2.38,357.16
4.33,0.09,0.3,59.5,0.61,13.89,5.23,2.93,1.32,3.64,148.4
5.25,0.11,0.17,65.17,0.7,13.37,3.83,3.08,1.99,1.04,612.94
3.34,0.03,0.04,72.54,0.57,10.4,4.64,0.78,1.08,2.12,569.52
4.4,0.08,0.12,54.16,0.38,12.17,2.24,1.62,2.87,2.57,346.66
3.28,0,0.05,74.22,0.49,13.69,0.04,0.03,0.07,0.44,1198.35
4.53,0.12,0.16,64.1,0.62,13.26,2.78,2.62,1.52,1.21,839.79
5.69,0.12,0.15,57.88,1.16,14.97,0.69,0.61,0.73,1.62,1206.13
4.97,0.12,0.09,59.63,0.64,14.18,2.08,1.7,2.37,1.74,239.03
3.15,0.08,0.05,60.77,0.31,9.16,0.47,0.76,0.64,1.35,1090.23
4.87,0.08,0.2,69.9,0.73,13.6,5.79,1.26,2.59,3.16,306.7
5.98,0.01,0.03,63.69,0.62,16.3,0.05,0.05,0.17,1.3,1316.76
7.83,0.05,0.08,58.85,0.85,17.56,0.03,0.04,0.61,1.58,1452.71
4.31,0.09,0.14,65.5,0.46,15.47,3.54,2.31,1.45,2.25,389.47
5.26,0.2,0.21,71.81,0.5,4.83,0.03,0.03,0.04,0.17,1431.04
4.86,0.05,0.1,62.76,1.07,16.5,0.28,0.23,0.53,1.11,1218.65
7.5,0.12,0.11,41.78,0.89,5.75,1.08,1.47,1.01,0.92,742.77
2.52,0.07,0.12,67.77,0.36,9.17,3.37,1.39,0.78,1.92,368.27
2.22,0.04,0.1,64.65,0.5,7.95,4.68,1.17,2.38,2.29,649.3
3.52,0.06,0.11,59.86,0.53,9.39,2.79,0.96,1.23,2.14,445.93
6.4,0.15,0.07,62.91,1.03,13.32,4.17,2.27,2.14,0.94,1287.34
3.23,0.06,0.14,66.22,0.48,11.89,5.92,2.6,1.64,2.55,227.11
4.97,0.14,0.4,59.98,0.82,14.96,1.69,2.35,0.94,1.75,1187.81
5.53,0.04,0.09,56.29,0.64,15.49,0.71,0.74,1.22,1.67,1020.01
6.25,0.12,0.14,57.42,1.08,13.63,1.52,0.26,0.97,1.85,1361.23
2.38,0.03,0.04,74.01,0.3,8.32,5.77,1.02,0.92,2.31,257.28
5.12,0.09,0.1,58.18,0.63,14.76,2.57,1.71,2.59,1.67,304.4
4.22,0.06,0.11,65.86,0.61,14.53,3.67,0.23,2.2,2.96,430.48
3.36,0.05,0.13,71.74,0.54,9.89,5.5,1.1,1.12,2.22,391.81
5.49,0.05,0.11,64.3,1.13,19.73,0.13,0.06,0.32,1,1269.2
6.49,0.14,0.23,53.59,0.92,15.16,3.79,2.84,1.88,1.91,254.22
2.33,0.05,0.09,71.79,0.33,7.78,4.43,0.63,1.06,1.76,302.96
7.4,0.15,0.25,55.03,0.99,16.77,4.45,2.63,2.59,2.19,284.81
6.86,0.42,0.11,57.68,0.49,10.09,0.48,0.82,0.89,2.25,644.98
5.83,0.11,0.3,55.26,0.7,15.68,2.66,0.91,1.96,3.23,285.11
6.19,0.09,0.24,52.07,0.69,12.56,2.03,2.27,1.29,0.89,422
3.19,0.04,0.01,45.05,0.87,10.56,0.4,0.44,0.37,1.32,1174.47
8.9,0.05,0.23,48.01,1.45,20.19,0.22,0.14,0.56,1.58,1487.45
4.31,0.07,0.13,62.51,0.56,12.79,4.64,1.04,2.66,2.39,433.5
4.58,0.26,0.45,59.57,0.78,13.08,1.61,2.19,0.87,1.85,843.21
13.73,0.38,0.33,45.53,2.43,19.24,0.55,0.59,0.64,0.87,1308.11
5.38,0.11,0.26,58,0.63,15.29,2.8,2.68,1.36,1.09,559
3.12,0.04,0.08,63.61,0.46,10.58,6.05,1.31,1.11,2.77,280.42
2.85,0.09,0.11,66.86,0.47,11.48,4.64,1.48,1.47,1.8,421.27
5.21,0.01,0.04,57.91,0.89,16.53,0.04,0.02,0.08,0.33,1191.01
5.84,0.22,0.16,63.08,0.79,14.9,2.3,0.97,2.6,1.22,431.57
2.98,0.06,0.04,66.19,0.37,8.71,5.36,0.95,1.2,1.83,318.27
3.88,0.07,0.15,61.89,0.52,11.68,5.32,1.17,2.52,2.34,406.02
6.93,0.14,0.4,49.94,1.13,12.62,5.32,2.79,1.6,1.9,209.96
15.8,0.34,0.44,29.41,3.29,19.04,0.22,0.2,0.75,0.32,260.29
3.05,0.04,0.13,63.18,0.41,9.11,5.36,0.92,1.42,1.86,385.03
4.4,0.07,0.11,52.03,0.48,11.46,4,0.92,2.87,2.09,333.79
9.36,0.14,0.24,50.97,0.98,15.78,5.91,2.87,2.95,1.39,341.89
6.4,0.14,0.29,46.57,0.83,14.41,3.88,2.72,1.6,1.64,173.64
6.55,0.24,0.23,51.16,1.15,14.91,0.67,0.32,0.96,1.03,1201.23
6.8,0.12,0.19,46.45,0.68,14.2,4.67,2.8,3.29,0.95,1112.59
3.3,0.06,0.07,61.26,0.44,10.27,8.79,1.79,1.48,2.88,217.69
9.84,0.2,0.36,46.03,1.32,13.69,5.3,2.58,2.75,0.8,607.01
2,0.04,0.25,63.13,0.37,7.47,6.55,0.85,2.6,1.89,482.51
2.66,0.05,0.18,62.83,0.33,7.89,6.2,0.97,1.69,1.63,316.42
7.51,0.11,0.21,43.38,1.31,22.61,0.33,0.25,0.96,1.33,1200.26
3.7,0.04,0.09,61.72,0.59,10.84,6.76,0.5,1.04,2.07,610.03
6.14,0.03,0.17,39.51,1.32,20.69,0.22,0.1,0.65,1.01,1200.82
15.23,0.15,0.53,15.36,3.33,17.29,1.31,0.04,0.63,0.17,972.32
3.06,0.06,0.13,48.39,0.44,8.89,9.11,2.8,4.55,2.4,154.23
4.79,0.04,0.15,40.77,0.57,14.35,3.39,0.69,1.88,2.49,442.04
9.05,0.1,0.07,48.25,0.97,21.96,0.14,0.03,0.3,0.35,1145.39
4.85,0.03,0.19,44.37,1.26,22.58,0.32,0.16,0.72,0.91,1197.79
8.52,0.11,0.21,42.3,1.33,23.43,0.29,0.15,0.77,0.97,1173.05
4.24,0.1,0.2,56.09,0.63,11.34,7.7,1.58,1.89,2.3,365.91
3.26,0.06,0.14,66.38,0.42,9.44,9.15,1.41,2.21,1.82,382.63
10.86,0.08,0.08,44.93,0.97,23.84,0.14,0.02,0.27,0.26,1145.39
4.77,0.07,0.13,52.92,0.85,10.52,11.51,2.66,1.47,2.97,292.04
8.86,0.19,0.21,40.54,1.39,24.08,0.2,0.16,0.81,1.18,1197.71
5.68,0.16,0.18,50.65,0.61,14.63,9.02,3,2.6,2.27,175.59
2.92,0.05,0.18,59.81,0.44,10.8,8.81,1.24,1.55,2.38,468.34
3.74,0.05,0.14,52.93,0.43,10.31,7.82,0.78,2.35,2.35,408.59
7.26,0.13,0.52,49.04,1.15,16.41,8.48,2.94,2.59,1.98,209.96
5.17,0.06,0.2,39.37,1.32,24.96,0.29,0.08,0.74,0.93,1174.51
2.81,0.06,0.1,61.81,0.43,8.56,9.73,1.15,1.96,1.76,452.59
15.65,0.28,1.1,19.82,3.76,20.85,1.49,0.07,0.99,0.27,909.6
16.51,1.48,0.05,59.2,0.35,6.34,0.24,0.33,0.64,1.76,692.43
1.58,0.03,0.09,66.23,0.23,5.58,11.59,0.32,1.35,1.53,292.16
4.74,0.08,0.17,54.59,0.56,12.62,11.17,0.71,2.43,2.66,411.24
2.65,0.03,0.09,52.83,0.38,8.63,11.01,0.88,1.11,2.28,284.57
4.68,0.09,0.17,52.71,0.55,12.51,11.31,0.72,2.37,2.78,411.4
3.82,0.07,0.12,53.89,0.48,9.7,13.12,1.89,2.19,2.03,303.16
2.79,0.06,0.13,53.91,0.46,8.69,12.88,1.06,1.23,2.09,353.66
2.46,0.05,0.08,55.68,0.33,8.56,14.15,1.34,2.45,2.06,273.07
2.73,0.04,0.11,49.51,0.51,9.96,15.25,2.14,0.82,2.99,293.01
3.35,0.05,0.08,51.14,0.42,9.64,15.47,1.54,1.95,2.24,282.69
4.6,0.18,0.09,51.28,0.65,11.32,10.87,0.15,1.22,0.95,1010.5
2.89,0.05,0.19,49.49,0.43,8.63,13.62,0.98,1.83,1.76,380.46
2.09,0.06,0.11,56.06,0.3,6.69,14.76,1.09,2.09,1.41,452.51
3.2,0.05,0.18,46.27,0.41,9.67,13.12,0.3,4.54,1.99,311.64
4.57,0.08,0.15,46.38,0.53,12.14,13.98,0.95,2.53,2.37,411.89
2.62,0.03,0.07,56.17,0.44,8.33,16.17,0.62,1.12,1.7,553.51
1.57,0.03,0.07,43.88,0.2,6.12,15.9,1.21,6.04,1.17,509.07
1.38,0.03,0.08,34.95,0.22,4.27,13.39,0.16,3.33,1.12,386.02
12.72,0.68,2.05,38.4,2.43,17.16,3.35,0.75,1.38,0.57,1494.63
3.32,0.05,0.15,45.72,0.32,8.79,16.57,0.48,4.22,2.08,384.59
1.94,0.05,0.2,34.59,0.29,6.22,16.51,1.65,5.73,1.83,130.18
2.51,0.07,0.11,35.3,0.35,7.15,18,0.89,8.94,1.54,307.8
1.84,0.04,0.13,36.51,0.29,5.34,15.79,0.13,3.69,1.05,311.64
1.02,0.03,0.06,42.06,0.16,2.69,22.63,0.3,5.9,0.73,131.67
1.9,0.04,0.09,32.16,0.26,5.77,21.49,0.75,3.88,1.26,342.14
1.85,0.03,0.1,31.72,0.27,5.13,21.42,0.53,1.71,1.35,254.13
11.76,0.04,4.87,32.67,0.42,21.95,0.12,1.61,0.5,1.42,1044.45
2.01,0.04,0.06,30.34,0.25,5.55,27.13,0.69,4.06,1.1,311.38
0.2,0.01,0.02,7.81,0.04,0.86,28.15,0.17,0.17,0.31,255.1
0.14,0,0.01,5.44,0.02,0.45,29.87,0.06,0.14,0.12,150.97
2.17,0.03,0.13,17.77,0.27,6.1,35.93,0.08,0.72,0.59,946.65
1.15,0.02,0.05,25.34,0.15,4.31,38.27,0.05,0.67,0.21,870.71
0.04,0,0.1,1.18,0.01,0.09,48.79,1,2.29,0.05,1011.81
1.72,0.03,0.03,74.9,0.29,7.17,0.35,2.68,0.2,3.74,786.47
1.33,0.01,0.06,95.76,1.01,4.32,0,0.07,0.17,0.55,1074.19
4.05,0.04,0.08,73.6,1.09,9.9,0.45,2.14,0.81,1.62,1041.51
4.36,0.05,0.08,80.71,0.83,10.67,0.8,1.31,0.89,2.3,817.51
3.87,0.03,0.04,80.62,0.65,9.25,0.87,1.15,0.88,2.07,818.27
2.06,0.02,0.03,86.04,1.02,5.72,0.04,0.08,0.3,0.65,1132.23
3.45,0.11,0.17,63.95,0.58,9.24,0.77,1.54,0.89,4.36,313.18
4.95,0.04,0.04,71.84,1,11.56,0.12,0.41,0.78,2.57,1314.86
1.64,0.01,0.01,81.09,0.26,6.17,0.55,0.87,0.31,2.04,285.41
3.94,0.05,0.1,70.01,0.82,6.64,0.75,1.75,0.99,1.6,1229.19
3.22,0.04,0.09,74.03,0.59,4.79,0.75,1.08,0.62,1.89,830
4.06,0.04,0.03,74.44,1.02,9.66,0.07,0.44,0.55,1.83,1322.97
1.87,0.02,0.03,80.94,0.3,7.1,1.07,1.03,0.4,2.35,284.4
3.31,0.04,0.04,73.63,0.33,13.18,1.81,1.93,1.37,3.68,186.33
3.34,0.01,0.06,75.67,0.99,4.56,0.02,0.13,0.11,1.03,1233.17
3.08,0.07,0.1,82.21,0.51,8.97,0.78,1.36,0.76,1.77,411.08
1.21,0.03,0.04,81.51,0.22,6.02,0.35,0.54,0.36,2.29,634.41
3,0.04,0.06,75.28,0.48,3.97,0.26,0.63,0.47,1.71,735.58
4.15,0.07,0.09,78.09,0.76,10.44,0.33,0.76,0.82,1.94,1091.97
4.9,0.04,0.11,66.21,0.91,6.22,0.06,0.69,0.6,1.81,1054.95
1.26,0.01,0.03,86.21,0.22,3.39,0.2,0.27,0.18,1.06,436.74
3.85,0.08,0.12,78.08,0.74,9.54,0.46,0.74,0.7,2.06,1201.76
4.59,0.03,0.05,74.83,1.06,12.86,0.06,0.29,0.72,1.91,1348.31
3.95,0.06,0.11,70.19,0.52,6.43,0.53,1.12,0.7,2.16,793.38
1.55,0.02,0.03,83.48,0.7,4.53,0.04,0.1,0.21,0.58,1201.18
3.95,0.07,0.12,76.44,0.75,10.09,0.43,0.69,0.73,2.12,1201.76
2.01,0.01,0.06,80.97,0.61,7.47,0.04,0.56,0.3,1.09,1170.62
2.21,0.03,0.06,80.26,0.73,7.08,0.08,0.22,0.28,1.3,1307.16
3.45,0.05,0.09,75.29,0.56,8.93,1.15,1.25,0.72,2.16,452.54
4.12,0.08,0.25,71.08,0.81,5.86,0.45,1.31,0.77,1.6,1220.99
3.91,0.06,0.11,73.91,0.62,10.26,0.84,1.17,0.8,2.34,427.16
3.41,0.09,0.05,79.76,0.97,10.14,0.05,0.16,0.46,1.55,1352.24
1.15,0.02,0.03,80.38,0.8,4.42,0.07,0.05,0.21,0.72,1483.53
9.08,0.07,0.1,62.55,1.15,11.68,0.54,0.8,0.8,2,1280.9
2.87,0.03,0.03,79.33,0.3,8.14,0.67,0.85,0.78,1.74,318.27
5.02,0.06,0.07,66.51,1,12.88,0.1,0.39,0.78,2.78,1197.75
2.08,0.04,0.07,79.2,0.35,7.45,1.82,1.05,1.23,2.23,426.64
6.2,0.13,0.06,68.24,1.19,13.28,0.12,0.59,1.14,2.12,1011.51
2.76,0.05,0.12,68.72,0.4,7.82,1.03,1.44,1.27,2.62,367.98
6.99,0.04,0.21,65.63,0.77,10.35,0.38,1.29,1.06,1.91,1111.25
4.05,0.1,0.07,75.22,0.71,11.43,0.57,1.28,0.84,1.78,1119.16
2.91,0.08,0.1,58.39,0.38,8.2,1.18,3.39,0.53,2.41,1368.78
0.95,0.02,0.04,83.53,0.51,4.32,0.06,0.13,0.15,0.62,1142.95
4.4,0.04,0.1,65.3,0.79,8.69,0.32,1.01,0.63,1.93,1423.2
4.34,0.07,0.08,69.95,0.7,7.61,1.34,0.75,1.14,2.33,712.08
4.57,0.12,0.16,74.15,0.74,11.84,0.42,0.92,0.92,2.41,1210.17
4.86,0.06,0.09,68.6,0.7,12.11,0.61,1,0.98,2.55,1049.21
5.08,0.04,0.04,67.32,0.98,12.43,0.52,0.98,0.76,1.89,1262.12
4.35,0.06,0.11,72.97,0.54,11.4,1.17,1.46,1.25,2.22,439.06
1.01,0.03,0.05,72.8,0.36,3.84,0.16,0.88,0.14,1.43,814.44
5.24,0.07,0.19,65.11,0.61,14.5,2.43,1.9,2.21,3.93,530.39
3.64,0.05,0.1,70.96,0.49,6.91,0.51,1.02,0.92,1.69,313.25
2.56,0.04,0.17,68.53,0.52,7.56,2.14,2.31,0.96,2.29,1359.24
6.41,0.18,0.06,68.95,1,12.69,0.05,0.25,0.69,2.7,1371.56
4.29,0.06,0.09,71.47,0.71,10.53,1.04,1.45,0.87,1.77,1221.36
4.26,0.03,0.07,73.97,0.68,11.24,0.48,0.96,0.77,1.55,1048.44
4.93,0.1,0.19,65.03,0.56,12.19,2.31,2.87,1.03,3.03,305.55
6,0.09,0.23,60.92,0.9,13.85,0.69,2.09,1.36,2.61,1028.41
3.85,0.07,0.12,56.13,0.52,6.25,1.93,3.1,0.92,2.24,841.94
4.35,0.02,0.06,68.56,0.64,6.19,0.11,0.61,0.44,1.19,1104.11
4.81,0.03,0.05,74.97,1.03,8.53,0.19,0.1,0.27,0.61,1096.9
3.98,0.05,0.07,66.37,0.72,10.58,0.65,1.25,0.75,2.11,1419.85
6.01,0.04,0.12,65.96,0.66,10.12,0.31,1.28,1.27,1.48,938.81
5.16,0.08,0.09,64.5,0.74,8.89,1.13,1.74,1.12,1.73,292.31
4.44,0.03,0.11,64,0.96,12,0.05,0.44,0.68,2.45,1284.72
6.96,0.05,0.19,66.14,0.74,12.3,0.34,1.42,1.39,1.67,962.4
4.33,0.03,0.08,61.67,0.97,12.58,0.06,0.33,0.68,2.84,1197.75
3.86,0.07,0.15,64.17,0.71,9.93,1.41,2.12,1,2.25,933.4
6.94,0.11,0.11,59.57,1.09,13.64,0.15,0.54,1.24,2.89,1060.36
5.13,0.11,0.24,47.5,0.6,14.89,4.25,6.58,2.47,2.97,135.32
6.28,0.16,0.03,67.04,0.99,14.28,0.13,0.48,1.45,2.35,1432.76
4.11,0.07,0.05,69.93,0.7,9.09,0.79,1,0.8,1.55,934.15
7.13,0.03,0.03,58.79,1.07,15.99,0.09,0.31,1.9,2.51,1470.36
0.98,0.01,0.03,82.29,0.16,2.99,0.21,0.15,0.23,0.6,506.28
4.56,0.06,0.07,59.15,0.55,8.25,0.95,1.55,0.38,2.44,448.97
2.51,0.08,0.17,71.96,0.48,7.76,0.6,0.57,0.68,2.47,220.07
3.93,0.11,0.09,73.47,0.51,10.66,1.04,1.26,1.38,1.95,527.95
3.43,0.05,0.13,74.87,0.56,11.29,3.35,1.67,1.47,2.77,269.4
10.24,0.15,0.24,60.2,2.04,15.44,0.39,0.7,0.66,1.2,1109.94
5.82,0.05,0.15,57.91,0.84,5.45,0.22,0.98,0.24,1.45,1383.74
3.76,0.07,0.13,74.38,0.57,10.64,1.16,1.03,1.03,1.91,408.77
4.72,0.08,0.1,67.87,0.56,13.27,0.9,1.07,1.96,2.58,374.97
4.61,0.1,0.14,69.84,0.6,12.51,1.1,0.65,1.93,2.91,430.3
5.24,0.07,0.11,62.04,0.61,15.2,3.11,3.3,1.68,2.84,173.25
5.36,0.19,0.11,72.21,0.66,12.57,0.73,1.61,0.78,1.92,1313.56
5.75,0.02,0.06,64.85,0.71,9.1,0.14,0.1,0.63,1.74,1030.4
4.06,0.06,0.09,61.01,0.65,14.03,2.24,2.04,0.85,3.49,284.08
5.17,0.17,0.11,67.1,0.94,13.17,0.15,0.61,0.82,2.51,1230.64
3.03,0.05,0.14,73,0.54,10.59,3.3,1.81,1.36,2.71,273.48
3.1,0.03,0.03,78.31,0.47,11,0.09,0.11,0.31,1.43,409.54
4.7,0.1,0.13,66.95,1.06,11.63,0.38,0.61,0.6,1.87,1175.89
1.66,0.02,0.05,77.84,0.24,3.75,0.6,0.22,0.28,0.91,433.32
5.04,0.09,0.17,60.35,0.83,10.28,1.92,2.25,1.31,2.03,337.08
4.18,0.09,0.08,63.88,0.72,9.83,0.47,0.77,0.72,2.12,1049.21
5.16,0.11,0.09,66.07,0.77,11.74,0.59,0.78,1.09,2.13,1000.73
4.72,0.11,0.22,69.37,0.67,11.79,1.25,1.04,1.19,2.55,968.23
4.94,0.28,0.03,68.83,0.75,12.3,0.12,0.38,0.89,2.94,1514.19
5.45,0.08,0.08,62.66,0.73,12.88,0.78,0.73,1.3,2.59,968.23
5.03,0.03,0.05,73.03,0.72,10.57,0.42,0.11,0.48,1.06,1207.91
3.99,0.05,0.04,70.21,0.52,10.76,0.81,0.87,0.79,1.59,755.68
4.33,0.02,0.04,74.8,1.11,11.61,0.14,0.03,0.21,0.27,1160.66
11.08,0.15,0.24,55.83,2.01,16.36,0.41,0.66,0.68,1.3,1084.04
4.53,0.15,0.18,66.97,0.87,10.86,0.31,0.58,0.62,2.19,1048.27
4.9,0.12,0.22,63.18,0.65,12.33,2.62,1.21,2.26,3.75,327.78
7.58,0.03,0.2,59.18,0.69,9.89,0.28,1,0.93,1.45,1111.71
3.21,0.02,0.02,70.37,0.35,5.03,0.23,0.08,0.28,0.9,772.3
6.71,0.03,0.16,58.78,0.66,11.75,0.13,1.17,1.38,1.49,974.44
7.02,0.04,0.13,58.05,0.78,7.88,0.56,0.9,0.77,1.14,1300.89
2.23,0.05,0.11,69.5,0.51,7.72,3.16,1.05,2.52,2.38,670.26
8.45,0.18,0.39,59.23,1.4,12.1,1.6,1.54,1.63,1.87,1238.79
3.61,0.1,0.07,69.06,0.57,12.64,2.79,3.1,1.34,1.18,836.13
8.95,0.06,0.13,56.85,0.98,19.37,0.03,0.13,0.84,3.1,1393.04
10.55,0.03,0.14,54.3,1.1,21.85,0.06,0.07,0.71,3.28,1433.23
3.49,0.09,0.1,66.72,0.44,8.75,1.57,1.24,1.09,1.78,447.24
5.24,0.06,0.3,62.87,0.84,15.7,1.51,2.36,0.98,1.89,1045.23
4.18,0.14,0.12,67.75,0.58,11.63,2.37,1.47,1.58,2.36,420.43
3.86,0.03,0.05,66.13,0.5,9.47,0.3,0.25,0.56,1.29,991.61
4.61,0.13,0.32,64.68,0.46,12.48,2.79,2.23,1.52,3.08,326.37
4.69,0.16,0.24,63.92,0.82,14.3,1.72,2.42,0.96,1.88,929.11
6.98,0.04,0.25,47.14,0.9,5.77,0.03,0.58,0.26,1.42,1344.95
16.26,0.32,0.39,46.74,2.97,18.96,0.29,0.35,0.35,0.81,1154.2
4.88,0.1,0.17,61.65,0.68,13.08,1.91,1.6,2.19,2.01,467.21
5.12,0.1,0.13,59.33,0.66,13.26,3.34,2.95,1.67,1.89,243.18
4.25,0.06,0.25,63.87,0.55,15.43,2.91,2.73,1.92,2.18,309.85
3.38,0.06,0.07,57.47,0.41,8.46,0.96,1.24,1.14,1.6,448.64
2.32,0.02,0.03,65.92,0.57,11.61,0.14,0.16,0.67,1.35,417.4
1.98,0.01,0.01,71.85,0.74,10.71,0.1,0.04,0.15,0.24,1229.95
5,0.05,0.14,55.7,0.63,11.48,0.47,1.17,0.99,1.41,1088.98
8.62,0.43,0.17,69.27,0.46,8.58,0.34,0.58,0.74,1.85,685.83
4.89,0.08,0.13,60.33,0.62,14.34,0.33,0.32,0.8,2.35,1488.5
5.29,0.09,0.16,62.67,0.59,14.21,2.38,2.52,1.51,1.37,481
2.89,0.08,0.05,63.67,0.28,8.74,0.48,0.79,0.58,1.31,1090.23
1.68,0.05,0.04,64.71,0.24,11.03,1.58,0.88,0.8,2.31,303.09
8.54,0.15,0.11,59.39,1.47,15.45,0.09,0.1,0.49,0.76,1497.14
5.46,0.07,0.12,60.52,0.71,15.03,2.41,2.66,1.41,1.03,700
3.62,0.01,0.04,67.92,0.72,10.7,0.03,0.01,0.07,0.17,1188.4
2.48,0.05,0.1,75.23,0.35,8.26,3.82,0.62,1.1,1.92,302.96
4.74,0.11,0.19,58.08,0.61,9.39,1.3,0.79,0.9,2,1002.46
3.37,0.07,0.12,69.55,0.4,9.69,3.28,1.11,1.63,1.71,464.49
4.15,0.31,0.2,64.29,0.94,13.01,0.4,0.47,0.77,2.39,1243.45
4.21,0.1,0.18,70.58,0.33,8.36,3.86,1.29,1.44,1.78,460.15
6.83,0.07,0.09,57.2,0.8,17.94,1.03,0.69,1.26,2.08,448.52
8.05,0.23,0.14,53.6,0.78,14.89,0.27,0.15,2.63,2.6,1146.54
5.12,0.09,0.09,59.58,0.63,14.54,2.41,1.63,2.43,1.65,239.03
2.69,0.04,0.03,73.25,0.37,7.52,5.02,0.51,1.87,2,158.02
9.09,0.27,0.51,59.62,1.35,16.86,4.13,3.59,1.61,1.81,262.33
4.7,0.08,0.19,53.09,0.52,8.79,3.52,2.09,1.57,2.19,759.66
4.27,0.22,0.41,62.2,0.72,10.8,1.63,2.08,0.8,1.73,874.73
3.5,0.02,0.03,54.92,0.44,7.03,0.27,0.09,0.44,1.03,772.3
4.59,0.18,0.4,61.86,0.77,13.35,1.63,2.03,0.97,1.82,912.58
5.43,0.05,0.06,55.87,1.11,15.86,0.49,0.47,0.55,1.07,1174.47
5.86,0.02,0.09,59.22,0.8,16.89,0.19,0.17,0.47,1.31,1175.89
6.21,0.14,0.3,51.41,0.81,10.16,3.99,2.86,1.18,1.47,173.64
2.2,0.05,0.1,63.78,0.28,7.87,4.79,1.73,2.34,1.43,494.61
4.83,0.17,0.39,49.98,0.94,14.48,1.54,2.1,0.93,1.65,911.66
2.29,0.05,0.1,68.68,0.42,7.62,6.54,1.11,0.84,1.95,406.52
7.38,0.15,0.2,49.49,1.43,20.88,0.43,0.29,0.9,1.46,1206.05
9.29,0.22,0.47,50.01,1.36,14.51,3.03,1.99,1.68,1.09,301
5.87,0.12,0.28,49.45,0.8,15.93,4.02,2.99,1.66,1.64,576.23
4.65,0.08,0.15,58.33,0.55,12.75,5.5,1.02,2.91,2.5,410.93
11.59,0.06,0.06,44.02,1.14,20.53,0.07,0.02,0.22,0.18,1145.39
10.45,0.06,0.08,49.47,1.05,21.91,0.15,0.03,0.27,0.27,1145.39
4.36,0.07,0.19,61.83,0.57,12.48,6.85,0.69,1.84,2.88,387.37
3.13,0.04,0.17,62.22,0.43,11.06,7.43,1.17,0.91,2.77,347.37
7.49,0.17,0.21,46.39,1.29,21.24,0.38,0.28,0.79,1.2,1198.58
2.9,0.06,0.16,62.76,0.49,9.21,7.52,1.14,1.05,2.21,411.05
6.53,0.05,0.18,43.82,1.3,21.45,0.36,0.14,0.79,0.95,1198.38
7.39,0.14,0.21,42.44,1.37,21.14,0.28,0.14,0.77,1.21,1200.01
7.78,0.14,0.31,41.76,0.86,13.48,3.2,1.86,3.34,0.76,1156.11
3.1,0.05,0.17,55.81,0.46,10.46,6.47,1.07,1.74,2.32,443.99
2.54,0.03,0.09,68.84,0.4,7.64,9.69,1.18,0.74,1.9,427.77
2.74,0.02,0.13,59.55,0.39,8.83,6.48,0.55,1.38,1.54,237.95
2.34,0.03,0.1,65.38,0.44,6.8,9.9,0.97,0.8,1.77,396.51
