Fe2O3,MnO,P2O5,SiO2,TiO2,Al2O3,CaO,Na2O,MgO,K2O,MAP
3.62,0.07,0.09,71.76,0.79,10.92,1.29,1.86,0.7,2.21,1253.17
3.99,0.02,0.08,79.11,0.71,11.86,0.66,0.93,0.93,1.7,1044.18
3.03,0.07,0.14,65.84,0.75,5.17,0.38,1.12,0.46,2.23,811
5.23,0.04,0.06,76.62,0.76,12.63,0.43,0.89,1.03,1.7,1088.03
1.95,0.01,0.03,80.49,0.86,6.36,0.03,0.1,0.25,0.84,1163.81
2.96,0.07,0.1,56.64,0.43,6.65,1.43,3.27,0.65,2.76,1368.78
4.58,0.06,0.02,75,0.86,10.66,0.07,0.22,0.66,1.86,1309.9
3.62,0.04,0.07,74.19,0.63,11.61,1.04,1.13,1.17,2.52,537.19
4.44,0.08,0.06,71.38,1.21,12.02,0.14,0.2,0.55,2.27,1325.28
4.13,0.13,0.06,70.79,1.22,13.71,0.13,0.56,0.86,2.61,1308.47
3.88,0.09,0.12,75.39,0.74,9.28,0.5,0.9,0.75,2.04,1201.76
3.74,0.02,0.03,76.93,0.88,9.09,0.07,0.23,0.44,1.24,1356.35
0.66,0.01,0.05,80.32,0.56,1.66,0.04,0.3,0.01,0.61,775.73
7.2,0.06,0.06,65.97,1.08,15.42,0.31,0.71,1.48,2.58,1206.3
2.3,0.04,0.1,71.66,0.47,7.97,1.64,1.61,0.74,2.71,402.33
4.66,0.05,0.06,64.57,0.58,4.2,0.26,0.83,0.42,1.97,996.94
3.67,0.07,0.08,78.68,0.67,9.74,0.43,0.64,0.67,1.86,1201.87
4.35,0.06,0.05,73.13,0.81,10.28,0.31,0.69,0.66,1.9,1207.91
3.11,0.12,0.11,68.99,0.46,13.13,1.7,2.54,0.69,3.58,655.1
3.13,0.04,0.17,72.2,0.67,5.46,0.31,1.21,0.57,1.33,1220.22
1.71,0.04,0.08,64.46,0.26,10.25,1.75,2.64,0.78,3.53,354.89
3.17,0.05,0.08,63.17,0.41,5.95,1.51,2.24,0.48,2.55,894.18
7.16,0.06,0.11,64.78,0.74,11.9,0.19,1.39,1.12,2.09,1104.32
3.47,0.05,0.12,76.24,0.6,11.19,1.19,1.07,1.12,2.58,542.04
3.01,0.05,0.32,84.04,0.54,13.05,1.8,2.77,0.89,1.74,557.73
3.28,0.02,0.07,73.49,0.77,9.69,0.05,0.33,0.51,2.05,1267.92
3.41,0.06,0.1,74,0.56,11.08,0.87,1.1,1.19,2.58,387.97
